Word,Frequency
china,22981
ai,17774
technology,11030
development,10772
global,9850
country,8080
new,7953
chinese,6739
digital,6219
company,6203
industry,6072
year,5948
world,5608
innovation,5289
data,5189
international,5096
cooperation,4781
governance,4650
government,4646
market,4628
percent,4603
system,4540
economic,4421
economy,4300
make,4270
service,3894
growth,3713
model,3685
people,3669
intelligence,3634
include,3627
use,3557
support,3421
research,3366
industrial,3233
artificial,3145
national,3140
sector,3133
promote,3112
policy,3070
need,3066
work,3029
security,2982
business,2976
application,2912
technological,2817
investment,2773
help,2735
city,2700
trade,2662
university,2614
share,2557
future,2532
provide,2519
platform,2452
accord,2446
enterprise,2442
area,2442
become,2381
plan,2379
center,2350
state,2349
effort,2339
add,2337
lead,2315
develop,2315
challenge,2303
beijing,2284
energy,2255
key,2252
improve,2223
education,2218
product,2205
power,2201
large,2196
information,2159
take,2152
create,2084
time,2082
science,2069
human,2068
report,2060
initiative,2034
increase,1976
public,1961
opportunity,1942
manufacturing,1921
shanghai,1901
smart,1894
focus,1890
region,1861
drive,1861
infrastructure,1836
intelligent,1813
major,1810
local,1800
many,1796
nation,1790
project,1790
strengthen,1783
role,1768
united,1766
compute,1757
social,1757
building,1740
high,1740
enhance,1729
hong,1725
yuan,1717
great,1713
province,1690
issue,1690
establish,1679
internet,1665
risk,1658
expand,1644
transformation,1634
emerge,1632
group,1588
change,1568
field,1562
big,1537
force,1532
resource,1528
community,1528
foreign,1517
robot,1511
last,1507
financial,1500
continue,1498
th,1487
demand,1484
right,1478
ensure,1454
advance,1450
production,1439
open,1436
quality,1435
base,1434
integrate,1431
build,1428
potential,1428
chain,1419
aim,1419
kong,1419
call,1418
strong,1417
set,1409
president,1406
supply,1404
conference,1404
achieve,1393
accelerate,1388
see,1388
important,1380
strategic,1374
launch,1374
expert,1373
exchange,1365
i,1364
green,1356
value,1355
address,1352
good,1344
benefit,1343
talent,1336
measure,1325
forum,1325
central,1323
come,1320
tech,1300
expect,1292
highquality,1291
law,1291
capital,1286
environment,1281
domestic,1273
show,1271
note,1255
grow,1243
advanced,1233
learn,1230
life,1228
collaboration,1226
daily,1218
chip,1207
event,1202
student,1201
network,1200
organization,1200
management,1197
experience,1196
solution,1182
progress,1180
party,1177
rise,1175
g,1173
traditional,1171
framework,1169
face,1164
sustainable,1162
institute,1159
reform,1159
xi,1155
cultural,1148
process,1147
reach,1146
level,1145
approach,1144
institution,1142
way,1141
strategy,1139
ecosystem,1136
offer,1136
vehicle,1136
integration,1132
south,1132
online,1132
number,1131
health,1129
consumption,1118
rule,1117
boost,1100
consumer,1097
control,1097
program,1089
developed,1084
tool,1071
member,1062
partner,1061
significant,1061
give,1060
say,1058
efficiency,1057
capability,1047
director,1047
release,1043
highlight,1042
part,1039
order,1036
interest,1034
move,1033
recent,1030
top,1026
medical,1025
leader,1013
meeting,1012
core,1012
total,1011
design,1008
foster,1006
competition,1002
capacity,999
committee,998
official,995
play,992
political,986
school,986
various,985
cost,984
healthcare,984
standard,975
next,974
past,974
export,971
language,962
action,958
wang,956
scientific,954
example,953
regulation,937
user,933
communication,933
second,931
medium,925
regional,921
upgrade,920
reduce,918
goal,917
innovative,916
road,912
require,908
mechanism,897
held,897
cloud,894
training,893
protection,890
firm,888
society,882
summit,882
result,878
ministry,877
home,876
point,875
access,873
li,873
climate,870
administration,863
brics,860
department,858
go,858
different,840
comprehensive,828
target,824
operation,823
place,821
partnership,816
deepen,811
real,808
day,804
rate,803
job,800
emphasize,799
contribute,799
study,797
scale,795
side,795
common,792
construction,791
think,790
shift,789
rapid,789
impact,789
critical,788
term,783
asia,782
look,781
follow,780
foundation,779
zhang,776
serve,774
era,773
understand,770
autonomous,768
session,759
longterm,756
step,754
end,751
enable,750
form,749
productive,743
safety,741
scenario,740
position,736
principle,730
academy,724
team,722
practice,719
breakthrough,716
leverage,715
relation,713
problem,713
month,711
reflect,710
advantage,708
implement,707
encourage,701
inclusive,699
annual,698
culture,697
concern,697
view,695
executive,694
decade,691
general,690
trend,688
commitment,688
un,687
small,679
case,671
maintain,671
feature,670
finance,669
adopt,669
introduce,668
private,668
generative,668
robotics,666
hub,665
explore,665
start,665
late,663
joint,661
invest,660
content,657
head,655
authority,651
startup,650
bank,649
mutual,648
remain,646
believe,645
vision,642
huawei,641
deputy,639
visit,638
test,638
dialogue,637
bring,636
young,635
importance,634
agreement,634
push,631
present,630
seek,629
strength,628
period,625
stage,622
advancement,622
fiveyear,621
third,621
tourism,620
related,615
fund,612
mean,608
urban,607
attract,607
gain,604
africa,604
turn,602
represent,600
driver,600
opening,600
hightech,599
senior,598
transition,594
algorithm,594
semiconductor,594
ceo,594
