Word,Frequency
china,20013
ai,15599
technology,9897
development,9576
global,8569
country,7282
new,7080
chinese,5997
year,5599
company,5531
digital,5526
industry,5369
world,5062
data,4648
international,4581
innovation,4483
cooperation,4258
government,4141
governance,4141
system,3939
market,3912
percent,3906
make,3872
economic,3823
economy,3747
people,3318
service,3267
use,3206
include,3183
intelligence,3156
growth,3133
model,3125
research,2966
support,2862
promote,2854
artificial,2766
need,2763
sector,2683
industrial,2682
national,2664
security,2663
business,2643
work,2637
policy,2604
application,2548
help,2425
technological,2411
city,2408
investment,2388
trade,2369
university,2320
future,2282
provide,2247
share,2203
area,2180
enterprise,2158
state,2151
accord,2151
platform,2111
develop,2110
effort,2072
challenge,2069
center,2068
lead,2061
become,2022
add,2010
information,1985
education,1980
take,1966
improve,1960
large,1957
beijing,1928
power,1927
product,1909
key,1901
plan,1890
energy,1888
human,1854
create,1836
science,1819
time,1818
increase,1785
report,1782
initiative,1769
opportunity,1693
drive,1684
public,1670
smart,1670
shanghai,1657
focus,1642
region,1632
project,1617
manufacturing,1611
hong,1611
united,1602
many,1599
internet,1588
nation,1583
local,1572
major,1571
issue,1565
intelligent,1561
high,1556
infrastructure,1550
enhance,1549
role,1542
great,1532
building,1525
social,1524
compute,1495
province,1480
big,1476
establish,1470
strengthen,1468
yuan,1465
field,1458
transformation,1433
group,1424
change,1423
emerge,1406
risk,1400
force,1372
i,1364
community,1353
foreign,1348
right,1342
last,1336
kong,1323
financial,1316
resource,1313
president,1295
ensure,1289
base,1280
potential,1280
expand,1274
set,1274
conference,1262
open,1256
call,1252
continue,1252
quality,1249
robot,1246
important,1240
th,1240
build,1239
see,1239
launch,1237
aim,1235
expert,1232
achieve,1230
production,1213
advance,1205
exchange,1205
integrate,1201
forum,1198
good,1195
address,1191
supply,1191
benefit,1190
chain,1188
tech,1184
accelerate,1174
law,1172
demand,1170
talent,1160
measure,1159
come,1159
strong,1157
green,1145
value,1143
central,1140
show,1111
environment,1108
highquality,1108
g,1107
chip,1102
expect,1102
life,1100
student,1098
strategic,1090
party,1090
learn,1077
note,1076
organization,1075
capital,1071
collaboration,1068
reform,1067
advanced,1061
daily,1055
xi,1053
event,1052
progress,1049
experience,1046
management,1044
way,1042
face,1041
solution,1039
number,1037
sustainable,1036
level,1032
grow,1031
online,1031
health,1026
institute,1024
process,1019
network,1019
domestic,1017
vehicle,1011
south,1009
traditional,1007
boost,1003
rule,996
rise,993
offer,982
developed,978
control,971
member,970
significant,961
give,960
framework,959
institution,958
program,955
reach,953
strategy,952
approach,950
integration,950
say,949
order,941
medical,940
interest,928
various,928
part,920
partner,915
play,913
committee,911
foster,907
director,907
consumer,906
release,904
recent,903
efficiency,902
top,896
consumption,895
school,894
cultural,893
total,887
leader,884
past,883
ecosystem,881
healthcare,880
tool,876
language,870
competition,867
example,867
capability,867
highlight,863
political,858
next,858
innovative,857
design,857
scientific,855
official,850
action,847
core,837
second,835
cloud,829
communication,826
wang,825
summit,825
move,824
road,823
held,823
standard,822
meeting,822
regulation,817
brics,816
goal,814
user,813
medium,808
society,801
capacity,801
climate,800
cost,798
training,793
export,793
reduce,789
li,788
require,782
go,779
result,776
regional,774
firm,772
administration,769
home,768
protection,767
mechanism,759
different,754
department,752
construction,748
upgrade,746
ministry,745
point,741
think,732
comprehensive,732
rate,728
impact,720
common,719
contribute,718
access,716
day,713
term,708
place,708
follow,706
operation,706
emphasize,704
study,704
real,702
partnership,696
autonomous,691
understand,690
era,689
look,687
foundation,684
asia,684
side,682
job,677
step,675
critical,672
end,672
productive,666
rapid,662
principle,662
zhang,658
problem,657
session,657
relation,656
deepen,655
serve,652
safety,646
target,641
practice,640
implement,639
academy,637
team,637
un,635
breakthrough,630
form,628
leverage,628
generative,627
month,626
enable,623
executive,623
general,622
concern,620
scale,618
decade,617
advantage,616
huawei,615
position,612
inclusive,609
adopt,605
invest,604
culture,604
encourage,602
scenario,602
commitment,598
start,598
joint,597
private,597
believe,596
maintain,595
introduce,595
trend,593
startup,591
view,591
late,589
explore,588
case,585
shift,584
