quarter,n_articles,mean_polarity,median_polarity,positive,neutral,negative,pos_share,neu_share,neg_share
2018Q3,1,0.1311,0.1311,1,0,0,1.0,0.0,0.0
2019Q1,29,0.0568,0.0719,8,20,1,0.276,0.69,0.034
2019Q2,72,0.0788,0.0821,29,43,0,0.403,0.597,0.0
2019Q3,92,0.0742,0.0692,37,53,2,0.402,0.576,0.022
2019Q4,110,0.085,0.0932,51,57,2,0.464,0.518,0.018
2020Q1,71,0.0687,0.0719,24,47,0,0.338,0.662,0.0
2020Q2,58,0.102,0.1081,33,25,0,0.569,0.431,0.0
2020Q3,62,0.0976,0.0905,25,37,0,0.403,0.597,0.0
2020Q4,56,0.0876,0.0786,21,35,0,0.375,0.625,0.0
2021Q1,42,0.0902,0.0801,16,26,0,0.381,0.619,0.0
2021Q2,49,0.0988,0.109,30,18,1,0.612,0.367,0.02
2021Q3,51,0.0868,0.0879,22,29,0,0.431,0.569,0.0
2021Q4,43,0.0991,0.1139,26,17,0,0.605,0.395,0.0
2022Q1,26,0.122,0.1185,18,8,0,0.692,0.308,0.0
2022Q2,35,0.0941,0.0946,16,19,0,0.457,0.543,0.0
2022Q3,46,0.1008,0.0962,21,24,1,0.457,0.522,0.022
2022Q4,55,0.1058,0.0973,26,29,0,0.473,0.527,0.0
2023Q1,91,0.0922,0.0896,38,53,0,0.418,0.582,0.0
2023Q2,125,0.1024,0.095,60,65,0,0.48,0.52,0.0
2023Q3,118,0.0992,0.0902,53,65,0,0.449,0.551,0.0
2023Q4,136,0.0908,0.097,63,71,2,0.463,0.522,0.015
2024Q1,141,0.0977,0.097,69,71,1,0.489,0.504,0.007
2024Q2,169,0.1008,0.099,83,86,0,0.491,0.509,0.0
2024Q3,173,0.0997,0.0997,86,85,2,0.497,0.491,0.012
2024Q4,184,0.0925,0.0896,77,107,0,0.418,0.582,0.0
2025Q1,378,0.0965,0.0978,181,196,1,0.479,0.519,0.003
2025Q2,316,0.1006,0.096,146,168,2,0.462,0.532,0.006
2025Q3,402,0.0989,0.0972,192,209,1,0.478,0.52,0.002
2025Q4,310,0.0954,0.0965,148,162,0,0.477,0.523,0.0
2026Q1,180,0.0914,0.0979,88,90,2,0.489,0.5,0.011
2026Q2,188,0.0972,0.0979,92,95,1,0.489,0.505,0.005
2026Q3,32,0.0911,0.0896,12,20,0,0.375,0.625,0.0
