news_num,date,quarter,sentiment_score,sentiment_category,source_file
news1,2018-07-24,2018Q3,0.131141,positive,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news2,2019-03-04,2019Q1,0.125917,positive,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news3,2019-03-04,2019Q1,0.1,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news4,2019-03-06,2019Q1,0.037689,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news5,2019-03-06,2019Q1,0.078966,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news6,2019-03-07,2019Q1,-0.073131,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news7,2019-03-07,2019Q1,0.0,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news8,2019-03-07,2019Q1,0.0,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news9,2019-03-08,2019Q1,0.074763,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news10,2019-03-08,2019Q1,0.138889,positive,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news11,2019-03-08,2019Q1,0.108194,positive,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news12,2019-03-09,2019Q1,0.095801,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news13,2019-03-10,2019Q1,0.099948,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news14,2019-03-11,2019Q1,0.0,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news15,2019-03-13,2019Q1,0.050735,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news16,2019-03-14,2019Q1,0.122917,positive,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news17,2019-03-18,2019Q1,0.0,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news18,2019-03-19,2019Q1,0.0,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news19,2019-03-21,2019Q1,0.113899,positive,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news20,2019-03-21,2019Q1,0.080299,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news21,2019-03-23,2019Q1,0.04402,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news22,2019-03-25,2019Q1,0.048529,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news23,2019-03-25,2019Q1,0.122648,positive,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news24,2019-03-26,2019Q1,0.0,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news25,2019-03-27,2019Q1,0.13375,positive,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news26,2019-03-28,2019Q1,0.0,neutral,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
news27,2019-03-28,2019Q1,-0.183333,negative,2025-11-29-16-48-21-14903289345200-Search Results-采集的数据-后羿采集器.csv
