Word,Frequency
china,2968
ai,2175
global,1281
development,1196
technology,1133
new,873
innovation,806
country,798
chinese,742
market,716
industry,703
percent,697
digital,693
company,672
service,627
system,601
economic,598
growth,580
model,560
support,559
economy,553
industrial,551
world,546
data,541
cooperation,523
international,515
governance,509
government,505
plan,489
intelligence,478
national,476
policy,466
sector,450
include,444
technological,406
research,400
make,398
work,392
investment,385
artificial,379
expand,370
energy,367
application,364
become,359
beijing,356
share,354
use,351
key,351
people,351
year,349
platform,341
business,333
add,327
security,319
strengthen,315
demand,314
help,310
manufacturing,310
need,303
product,296
accord,295
university,294
trade,293
city,292
public,291
infrastructure,286
enterprise,284
strategic,284
center,282
report,278
power,274
provide,272
effort,267
initiative,265
robot,265
time,264
improve,263
compute,262
area,262
strong,260
promote,258
risk,258
domestic,256
cultural,255
ecosystem,255
lead,254
intelligent,252
yuan,252
future,250
science,250
opportunity,249
create,248
focus,248
th,247
continue,246
advance,245
shanghai,244
major,239
large,239
education,238
challenge,234
social,233
chain,231
integrate,230
region,229
local,228
production,226
role,226
emerge,226
smart,224
consumption,223
fiveyear,220
capital,215
building,215
resource,215
accelerate,214
human,214
supply,213
grow,212
value,212
green,211
framework,210
province,210
move,209
establish,209
nation,207
develop,205
shift,205
transformation,201
state,198
capacity,198
many,197
tool,195
approach,194
reach,193
consumer,191
increase,191
expect,190
meeting,190
build,189
longterm,188
strategy,187
cost,186
quality,186
take,186
financial,184
high,184
institution,184
aim,184
central,183
highquality,183
target,183
reflect,182
rise,182
integration,182
network,181
great,181
enhance,180
open,180
capability,180
highlight,179
note,179
export,178
drive,177
scale,177
talent,176
community,175
core,175
information,174
upgrade,174
project,173
environment,173
advanced,172
last,171
remain,170
foreign,169
call,166
measure,166
ensure,165
group,164
united,164
traditional,164
daily,163
achieve,163
address,161
come,161
exchange,160
show,160
force,160
content,159
collaboration,158
access,157
deepen,156
efficiency,155
offer,154
base,154
benefit,153
standard,153
learn,153
management,153
design,151
experience,150
event,150
good,149
see,149
potential,148
regional,147
partner,146
change,145
official,145
solution,143
broader,142
conference,142
expert,141
important,140
director,140
release,139
mechanism,138
scenario,138
launch,137
right,136
set,135
institute,135
competition,135
point,134
program,134
ministry,132
progress,131
remains,131
wang,131
top,130
transition,130
reduce,129
leader,129
process,128
life,128
political,128
enable,127
rapid,127
recent,127
forum,127
require,126
sustainable,126
period,126
control,126
priority,125
vehicle,125
issue,125
organization,125
institutional,125
position,124
total,124
south,123
protection,123
face,123
job,123
serve,122
form,121
rule,121
shape,121
hub,121
partnership,120
regulation,120
user,120
embody,119
law,119
part,119
annual,119
zhang,118
operation,117
medium,117
gdp,117
price,117
critical,116
next,116
tech,116
firm,116
tourism,116
expansion,115
humanoid,115
clear,114
hong,114
side,113
level,113
place,113
president,111
action,111
small,110
say,109
technical,109
home,108
strength,107
communication,107
turn,107
feature,106
developed,106
department,106
real,106
interest,106
young,105
mutual,105
chip,105
europe,105
authority,105
view,104
field,104
generate,104
healthcare,104
goal,103
student,103
finance,103
health,103
result,102
xi,102
session,102
push,101
engine,101
online,101
response,100
practical,100
give,100
significant,100
training,100
encourage,99
way,99
foster,99
